Name,playerid
Corey Seager,13624
Kris Bryant,15429
Matt Duffy,13836
Francisco Lindor,12916
Odubel Herrera,11476
Jung Ho Kang,17182
Carlos Correa,14162
Joc Pederson,11899
Trevor Story,12564
Aledmys Diaz,15937
Addison Russell,14106
Eddie Rosario,12155
Tim Anderson,15172
Billy Burns,12701
Delino DeShields,11379
Byron Buxton,14161
Steven Souza Jr.,5667
Mark Canha,11445
Travis Jankowski,13768
Max Kepler,12144
Jace Peterson,12325
Nick Ahmed,12147
Cheslor Cuthbert,10473
Nomar Mazara,14553
Justin Bour,9744
Jorge Soler,14221
J.T. Realmuto,11739
Brandon Drury,11615
Yolmer Sanchez,11602
Michael A. Taylor,11489
James McCann,12859
Yasmany Tomas,17171
Justin Turner,5235